,state,name,latitude,longitude
107,ma,Ben & Jerry’s,42.3467886,-71.083049
108,ma,Ben & Jerry’s,42.0510662,-70.18762170000001
109,ma,Ben & Jerry’s,41.65344,-70.2828495
110,ma,Ben & Jerry's,42.359154,-71.0504923
111,ma,Ben & Jerry's,41.647716100000004,-70.27941899999999
112,ma,Ben & Jerry's Ice Cream Catering MA,42.306288200000004,-71.21762700000001
113,mi,Ben & Jerry's,42.279076,-83.74106590000001
114,mi,Ben & Jerry's,42.332611,-83.047263
115,mn,Ben & Jerry’s,44.9469259,-93.32235909999999
116,mn,Ben & Jerry’s,44.9698649,-93.5137047
117,ms,Ben & Jerry's,30.3917332,-88.887586
118,mo,Ben & Jerry's,38.655742700000005,-90.3041347
119,mt,Ben & Jerry's,47.65952,-117.4235004
120,ne,Sonic Drive-In,40.7217197,-99.08439770000001
121,ne,Jerry Spady Chevrolet GMC Cadillac,40.6130461,-98.380513
122,ne,Ben & Jerry’s,40.5875184,-105.07578829999999
123,ne,Jerry W. Katskee,41.2571289,-96.0751597
124,ne,Ben & Jerrys,39.8541904,-104.67362
125,ne,Butherus Maser & Love Mortuary: Greiner Jerry,40.79927429999999,-96.6623851
126,ne,Ben & Jerry’s,39.6786222,-104.9597928
127,ne,Ben & Jerry’s,39.5628874,-104.8760334
128,nv,Ben & Jerry's,36.12044829999999,-115.1719952
129,nv,Ben & Jerry's,36.0212443,-115.0858248
130,nv,Ben & Jerry's,36.06081,-115.04079499999999
131,nv,Ben & Jerry's,36.1087395,-115.16981470000002
132,nv,Ben & Jerry's,36.114248100000005,-115.17249129999999
133,nh,Ben & Jerry’s,42.9915706,-71.4632204
134,nh,Ben & Jerry’s,43.6573835,-71.50004229999999
135,nh,Ben & Jerry's,44.05269439999999,-71.1292038
136,nj,Ben & Jerry’s,40.9806908,-74.11738249999999
137,nj,Ben & Jerry’s,40.892948100000005,-73.97357579999999
138,nj,Ben & Jerry’s,40.7819601,-74.0064396
139,nj,Ben & Jerry’s,40.7414305,-74.0294837
140,nj,Ben & Jerry's,40.808032399999995,-73.988109
141,nj,Ben & Jerry's,40.6874294,-74.1822618
142,nj,Ben & Jerry's,39.567378000000005,-74.2377453
143,nj,Ben & Jerry's,39.378328,-74.435245
144,nj,Ben & Jerry’s,38.9324624,-74.92275140000001
145,nj,Ben & Jerry’s,39.9507622,-75.1698598
146,nj,Ben & Jerry's,40.686896000000004,-74.18560409999999
147,nm,Ben E Keith Foods New Mexico,35.047546999999994,-106.647121
148,nm,Ben & Jerry's,35.1103683,-106.55366540000001
149,ny,Ben & Jerry's,40.7574529,-73.9867106
150,ny,Ben & Jerry's,40.7997286,-73.9678537
151,ny,Ben & Jerry's,40.758944,-73.979351
152,ny,Ben & Jerry's,40.72892,-73.98874
153,ny,Ben & Jerry's,40.669059499999996,-73.86177109999998
154,ny,Ben & Jerry’s,40.7819601,-74.0064396
155,ny,Ben & Jerry’s,40.7414305,-74.0294837
