"store","state","place_id","name","address","latitude","longitude"
"Ben and Jerry's","FL","ChIJt4vnoTyr2YgRzA8H5zVXcfQ","Ben & Jerry's","1202, N Broadwalk, Hollywood, FL 33019, United States","26.0198104","-80.11528229999999"
"Ben and Jerry's","FL","ChIJodKcuIe02YgRBaTmuPv6UUI","Ben & Jerry's","1631 Alton Rd, Miami Beach, FL 33139, USA","25.789936","-80.1407778"
"Ben and Jerry's","FL","ChIJW9ms7OF-54gRG9jifDTYlPM","Ben & Jerry's","6300 Hollywood Way, Orlando, FL 32819, USA","28.470503","-81.4704697"
"Ben and Jerry's","FL","ChIJoXucnEvZ5ogRpzxRVhQxKrc","Ben & Jerry's","One Daytona Blvd, Daytona Beach, FL 32114, USA","29.194215","-81.072362"
"Ben and Jerry's","FL","ChIJd4iRb52s2YgRTyO6ud3idMo","Ben & Jerry's","1723 E Hallandale Beach Boulevard, Hallandale Beach, FL 33009, USA","25.9871124","-80.1306025"
"Ben and Jerry's","FL","ChIJJZVHI5i32YgRPQbtj2rCjvk","Ben & Jerry's","80 Aragon Ave, Coral Gables, FL 33134, USA","25.7504997","-80.25646809999999"
"Ben and Jerry's","FL","ChIJvRBCrN9-54gRV00OPUHRtaA","Ben & Jerry's","1000 Universal Studios Plaza, Orlando, FL 32819, USA","28.4772181","-81.4735754"
"Ben and Jerry's","ID","ChIJfUv1NuT4rlQRMqYSlELsPlk","Ben & Jerry's","103 N 10th St, Boise, ID 83702, USA","43.6170987","-116.2057705"
"Ben and Jerry's","IL","ChIJJyGFwK_HD4gRtZUkmFN3zk8","Ben & Jerry's","1860 Tower Dr, Glenview, IL 60026, USA","42.0885931","-87.82446560000001"
"Ben and Jerry's","IL","ChIJj3c_ZFIrDogR4OxvPsmW4C8","Ben & Jerry's","600 E Grand Ave, Chicago, IL 60611, USA","41.8917276","-87.6085693"
"Ben and Jerry's","KS","ChIJuZrz0cLBwIcR1_WtHmGG2e4","Ben & Jerry's","6984 W 135th St, Overland Park, KS 66223, USA","38.88386","-94.66676799999999"
"Ben and Jerry's","KY","ChIJ3dS0_qFmZIgRIKaqpibT5V4","Ben & Jerry's","2200 Children's Way, Food Court 2nd Floor, Nashville, TN 37232, United States","36.139374","-86.8024157"
"Ben and Jerry's","KY","ChIJEVKnoJdmZIgRB092CXCIjPQ","Ben & Jerry's","416-A 21st Ave S, Nashville, TN 37203, USA","36.1461565","-86.7993561"
"Ben and Jerry's","KY","ChIJZUvTprX4W4gRu8xJnrObT_E","Ben & Jerry's","1645 Parkway Suite 1440, Sevierville, TN 37862, USA","35.8329103","-83.5698116"
"Ben and Jerry's","KY","ChIJDdggC3OgaYgRgcmGeA34uNU","Ben & Jerry's","2745 S Hurstbourne Pkwy, Louisville, KY 40220, USA","38.2117995","-85.5969245"
"Ben and Jerry's","LA","ChIJjZU1UETGwoARoYR4Acs4kWA","Ben & Jerry's","800 N Alameda St, Los Angeles, CA 90012, USA","34.05579609999999","-118.2358339"
"Ben and Jerry's","LA","ChIJ2-OYire6woARHgtfoQVLKVQ","Ben & Jerry's","1307 Ocean Front Walk, Los Angeles, CA 90291, USA","33.988265","-118.474724"
"Ben and Jerry's","MD","ChIJeetCRnXNt4kRslhpbZXNeKk","Ben & Jerry's","199-F, E Montgomery Ave, Rockville, MD 20850, USA","39.0839769","-77.150241"
"Ben and Jerry's","MD","ChIJ-2jC8HOwt4kRvTv1Dq5H-1s","Ben & Jerry's","138 National Plaza, Oxon Hill, MD 20745, USA","38.7852093","-77.0162885"
"Ben and Jerry's","MD","ChIJQVqLbrrIt4kR-cjjRV5uLOs","Ben & Jerry's","903 Ellsworth Dr, Silver Spring, MD 20910, USA","38.9967633","-77.0259401"
"Ben and Jerry's","MA","ChIJwbEqJmAr4YkRiwepMQuV-7c","Ben & Jerry's","25 Greenfield Rd, South Deerfield, MA 01373, USA","42.475441","-72.615211"
"Ben and Jerry's","MA","ChIJvw3fSxdy44kRVrOHt5COn7I","Ben & Jerry's","565 Squire Rd, Revere, MA 02151, USA","42.4322838","-71.02002019999999"
"Ben and Jerry's","MA","ChIJHRY26Ydw44kRgSJyINMw2rU","Ben & Jerry's","1 Boston Wharf Rd, Boston, MA 02210, USA","42.359154","-71.0504923"
"Ben and Jerry's","MA","ChIJ6d0unfkw-4kRfSuQ48mgSaw","Ben & Jerry's","22 Channel Point Rd Lower Level, Hyannis, MA 02601, United States","41.6477161","-70.279419"
"Ben and Jerry's","MA","ChIJfyU-OIKI44kRUhWzQpOWD84","Ben & Jerry's Natick","Route 9 West, 1265 Worcester St, Natick, MA 01760, United States","42.30002","-71.3894096"
"Ben and Jerry's","MA","ChIJA266tkJ344kRaK7oz0CKGoc","Ben & Jerry's Harvard Square","36 John F. Kennedy St, Cambridge, MA 02138, USA","42.3726117","-71.1196425"
"Ben and Jerry's","MA","ChIJyVcF9xZ944kR3XlUeO_Do7k","Ben & Jerry's South Shore Place","30 Forbes Rd, Braintree, MA 02184, USA","42.2200912","-71.0301748"
"Ben and Jerry's","MA","ChIJO01ozgOD44kRh4AcvczCuPI","Ben & Jerry's Ice Cream Catering MA","3022, 33 Highland Ave, Needham, MA 02494, United States","42.3062882","-71.217627"
"Ben and Jerry's","MI","ChIJn2DrJTAtO4gRPW6HCUas6po","Ben & Jerry's","1014 Woodward Ave, Detroit, MI 48226, USA","42.332611","-83.047263"
"Ben and Jerry's","MS","ChIJw92slOYOnIgRaNXKMPHFvVE","Ben & Jerry's","777 E Beach Blvd, Biloxi, MS 39530, USA","30.3917332","-88.887586"
